"district","median_age","total_va","male_va","female_va","pvi_margin","status","margin_percent"
"Illinois 04","35.9","435,135","218,787","216,348",22,"Incumbent D",40.35
"Illinois 05","37.5","558,195","273,299","284,896",18,"Incumbent D",37.25
"Illinois 06","41.1","549,898","267,122","282,776",3,"Incumbent D",8.72
"Illinois 07","35.0","539,965","252,266","287,699",36,"Incumbent D",99.89
"Illinois 08","39.1","500,081","245,826","254,255",6,"Incumbent D",12.5
"Illinois 09","40.4","530,228","259,704","270,524",19,"Incumbent D",44.17
"Illinois 10","39.4","514,735","256,689","258,046",11,"Incumbent D",26.92
"Illinois 11","39.3","522,069","256,791","265,278",5,"Incumbent D",12.91
"Illinois 12","41.4","581,982","293,478","288,504",-24,"Incumbent R",-48.85
"Illinois 13","37.0","573,839","275,352","298,487",3,"New seat",9.48
"Illinois 14","36.5","526,235","261,651","264,584",4,"Incumbent D",7.5
"Illinois 15","42.1","587,432","291,790","295,642",-22,"Incumbent R",-41
"Illinois 16","41.6","564,444","278,771","285,673",-13,"Open",-33.16
"Illinois 17","38.4","566,384","275,848","290,536",2,"Open",3.5
"Indiana 01","39.7","565,332","275,574","289,758",3,"Incumbent D",5.68
"Indiana 02","37.7","545,750","267,578","278,172",-14,"Open",-32.2
"Indiana 03","37.6","547,661","269,779","277,882",-18,"Incumbent R",-22.88
"Indiana 04","36.8","556,476","279,105","277,371",-18,"Incumbent R",-35.78
"Indiana 05","38.6","564,019","273,512","290,507",-11,"Incumbent R",-22.15
"Indiana 06","38.2","544,951","265,454","279,497",-19,"Incumbent R",-36
"Indiana 07","34.2","526,405","246,930","279,475",19,"Incumbent D",36.28
"Indiana 08","40.0","577,603","287,764","289,839",-19,"Incumbent R",-33.91
"Indiana 09","39.2","581,423","285,544","295,879",-16,"Open",-29.95
"Iowa 01","38.6","600,412","298,328","302,084",-3,"Incumbent R",-6.64
"Iowa 02","39.5","603,977","298,105","305,872",-4,"Incumbent R",-10.47
"Iowa 03","37.2","575,220","283,650","291,570",-3,"Incumbent D",-0.69
"Iowa 04","38.5","589,336","295,574","293,762",-16,"Incumbent R",-37.18
"Kansas 01","35.7","538,466","273,228","265,238",-18,"Incumbent R",-34.02
"Kansas 02","37.4","530,966","264,178","266,788",-11,"Incumbent R",-15.28
"Kansas 03","38.1","530,440","260,453","269,987",-1,"Incumbent D",12.31
"Kansas 04","37.0","526,251","260,575","265,676",-14,"Incumbent R",-25.9
"Kentucky 01","39.8","575,671","283,647","292,024",-24,"Incumbent R",-48.72
"Kentucky 02","38.9","563,470","276,764","286,706",-21,"Incumbent R",-46.49
"Kentucky 03","38.3","552,377","263,923","288,454",9,"Open",23.98
"Kentucky 04","39.3","561,977","278,539","283,438",-19,"Incumbent R",-33.94
"Kentucky 05","41.1","582,122","288,870","293,252",-32,"Incumbent R",-64.54
"Kentucky 06","37.1","562,606","271,843","290,763",-9,"Incumbent R",-30.17
"Louisiana 01","39.7","571,924","274,949","296,975",-23,"Incumbent R",-47.71
"Louisiana 02","37.6","571,833","269,404","302,429",25,"Incumbent D",53.32
"Louisiana 03","37.1","570,244","275,749","294,495",-21,"Incumbent R",-53.45
"Louisiana 04","37.7","578,824","280,814","298,010",-14,"Incumbent R",NA
"Louisiana 05","37.6","588,123","289,946","298,177",-17,"Incumbent R",-51.97
"Louisiana 06","35.8","577,851","276,254","301,597",-19,"Incumbent R",-68.16
"Maine 01","44.3","547,559","265,270","282,289",9,"Incumbent D",23.92
"Maine 02","45.4","548,304","270,416","277,888",-6,"Incumbent D",6
"Maryland 01","41.9","592,321","288,263","304,058",-11,"Incumbent R",-22.59
"Maryland 02","40.0","575,913","269,836","306,077",7,"Incumbent D",7.07
"Maryland 03","39.5","557,135","272,407","284,728",10,"Incumbent D",10.26
"Maryland 04","36.8","481,245","223,182","258,063",40,"Open",79.26
"Maryland 05","39.6","577,446","280,585","296,861",15,"Incumbent D",21.34
